1	0.433	0.959	0.829	0.889
2	0.442	0.962	0.821	0.886
3	0.424	0.963	0.824	0.888
4	0.424	0.967	0.829	0.892
5	0.413	0.960	0.830	0.890
6	0.422	0.964	0.841	0.899
7	0.443	0.971	0.827	0.894
8	0.430	0.963	0.811	0.881
9	0.453	0.962	0.804	0.876
10	0.443	0.960	0.817	0.883
11	0.445	0.963	0.821	0.887
12	0.431	0.955	0.823	0.884
13	0.428	0.966	0.820	0.887
14	0.438	0.958	0.817	0.882
15	0.440	0.957	0.817	0.881
16	0.426	0.960	0.827	0.889
17	0.426	0.960	0.824	0.887
18	0.412	0.962	0.830	0.891
19	0.417	0.967	0.831	0.894
20	0.420	0.962	0.829	0.890
21	0.418	0.965	0.831	0.893
22	0.419	0.963	0.826	0.889
23	0.423	0.965	0.827	0.891
24	0.421	0.964	0.831	0.893
25	0.418	0.960	0.826	0.888
26	0.413	0.965	0.839	0.898
27	0.431	0.959	0.833	0.891
28	0.404	0.955	0.826	0.886
29	0.427	0.956	0.830	0.888
30	0.434	0.962	0.823	0.887
31	0.421	0.952	0.821	0.882
32	0.412	0.959	0.830	0.890
33	0.421	0.965	0.830	0.892
34	0.435	0.958	0.821	0.885
35	0.421	0.964	0.837	0.896
36	0.431	0.961	0.816	0.883
37	0.422	0.959	0.830	0.890
38	0.416	0.961	0.836	0.894
39	0.434	0.963	0.823	0.888
40	0.411	0.962	0.834	0.894
41	0.417	0.959	0.836	0.893
42	0.418	0.955	0.826	0.886
43	0.414	0.956	0.833	0.890
44	0.414	0.960	0.824	0.887
45	0.412	0.954	0.831	0.889
46	0.424	0.962	0.821	0.886
47	0.408	0.962	0.824	0.888
48	0.419	0.962	0.831	0.892
49	0.416	0.957	0.826	0.887
50	0.419	0.962	0.829	0.890
51	0.413	0.956	0.829	0.888
52	0.426	0.962	0.830	0.891
53	0.413	0.954	0.827	0.886
54	0.421	0.957	0.823	0.885
55	0.429	0.953	0.816	0.879
56	0.416	0.959	0.831	0.891
57	0.427	0.962	0.821	0.886
58	0.423	0.958	0.816	0.881
59	0.412	0.957	0.829	0.888
60	0.418	0.955	0.823	0.884
61	0.418	0.954	0.826	0.885
62	0.412	0.965	0.827	0.891
63	0.409	0.959	0.831	0.891
64	0.425	0.952	0.823	0.883
65	0.429	0.952	0.816	0.878
66	0.427	0.955	0.823	0.884
67	0.424	0.952	0.824	0.884
68	0.420	0.962	0.836	0.894
69	0.413	0.960	0.823	0.886
70	0.416	0.960	0.827	0.889
71	0.426	0.957	0.827	0.887

11.509	0.750	0.379	0.503
